Year,"1832-1975: BEA Fixd Reprod Tangible Wlth of the United States, 1925-75: Table B4, pp. 343-344, Invest in Fixed Nonres bus capital, equip&structures","1832-1975: BEA Fixd Reprod Tangible Wlth of the United States, 1925-75: Table B4, pp. 343-344, Invest in Fixed Nonres bus capital, equip&structures","1901-2010: BEA Wealth Table 4.8, line 1 (Investment in Fixed Nonres capital), accessed 9/2/2011","1901-2010: BEA Wealth Table 4.8, line 1 (Investment in Fixed Nonres capital), accessed 9/2/2011",Spliced,Spliced,"FRED GPDIC1, Real Gross Private Domestic Investment, Billions of Chained 2017$, annual avg of quarterly. Source: https://fred.stlouisfed.org/series/GPDIC1. Pulled via pull_fred_ch02.py. NOTE: Uses REAL investment (chained 2017$), fixing the nominal/real mismatch from the prior GPDI extension.","Spliced Shaikh S002 (1832-2010) + FRED GPDIC1 real investment (post-2010), re-indexed to 1958=100 at splice year."
,S002-A,S002-B,S002-C,S002-D,S002-E,S002,S002-EXT,S002-COMBINED
1832,70.0,0.4666666666666667,,,0.4666666666666667,0.08057415610727653,,0.08057415610727653
1833,43.0,0.2866666666666667,,,0.2866666666666667,0.049495553037327014,,0.049495553037327014
1834,77.0,0.5133333333333333,,,0.5133333333333333,0.08863157171800418,,0.08863157171800418
1835,51.0,0.34,,,0.34,0.05870402802101576,,0.05870402802101576
1836,107.0,0.7133333333333334,,,0.7133333333333334,0.123163352906837,,0.123163352906837
1837,132.0,0.88,,,0.88,0.15193983723086432,,0.15193983723086432
1838,196.0,1.3066666666666666,,,1.3066666666666666,0.22560763710037426,,0.22560763710037426
1839,160.0,1.0666666666666667,,,1.0666666666666667,0.18416949967377494,,0.18416949967377494
1840,197.0,1.3133333333333332,,,1.3133333333333332,0.22675869647333535,,0.22675869647333535
1841,254.0,1.6933333333333334,,,1.6933333333333334,0.2923690807321177,,0.2923690807321177
1842,203.0,1.3533333333333333,,,1.3533333333333333,0.2336650527111019,,0.2336650527111019
1843,115.0,0.7666666666666667,,,0.7666666666666667,0.13237182789052573,,0.13237182789052573
1844,75.0,0.5,,,0.5,0.086329452972082,,0.086329452972082
1845,116.0,0.7733333333333333,,,0.7733333333333333,0.13352288726348682,,0.13352288726348682
1846,135.0,0.9,,,0.9,0.1553930153497476,,0.1553930153497476
1847,100.0,0.6666666666666666,,,0.6666666666666666,0.11510593729610931,,0.11510593729610931
1848,385.0,2.566666666666667,,,2.566666666666667,0.44315785859002094,,0.44315785859002094
1849,361.0,2.4066666666666667,,,2.4066666666666667,0.4155324336389547,,0.4155324336389547
1850,470.0,3.1333333333333333,,,3.1333333333333333,0.5409979052917138,,0.5409979052917138
1851,462.0,3.08,,,3.08,0.5317894303080251,,0.5317894303080251
1852,912.0,6.08,,,6.08,1.0497661481405172,,1.0497661481405172
1853,869.0,5.793333333333333,,,5.793333333333333,1.0002705951031898,,1.0002705951031898
1854,1339.0,8.926666666666666,,,8.926666666666666,1.5412685003949038,,1.5412685003949038
1855,1498.0,9.986666666666666,,,9.986666666666666,1.7242869406957178,,1.7242869406957178
1856,1134.0,7.56,,,7.56,1.3053013289378799,,1.3053013289378799
1857,1394.0,9.293333333333333,,,9.293333333333333,1.6045767659077639,,1.6045767659077639
1858,1431.0,9.54,,,9.54,1.6471659627073243,,1.6471659627073243
1859,1298.0,8.653333333333334,,,8.653333333333334,1.4940750661034992,,1.4940750661034992
1860,1242.0,8.28,,,8.28,1.4296157412176778,,1.4296157412176778
1861,1197.0,7.98,,,7.98,1.3778180694344286,,1.3778180694344286
1862,1067.0,7.113333333333333,,,7.113333333333333,1.2281803509494866,,1.2281803509494866
1863,718.0,4.786666666666667,,,4.786666666666667,0.826460629786065,,0.826460629786065
1864,819.0,5.46,,,5.46,0.9427176264551353,,0.9427176264551353
1865,762.0,5.08,,,5.08,0.877107242196353,,0.877107242196353
1866,1102.0,7.346666666666667,,,7.346666666666667,1.2684674290031248,,1.2684674290031248
1867,1560.0,10.4,,,10.4,1.7956526218193056,,1.7956526218193056
1868,1763.0,11.753333333333334,,,11.753333333333334,2.029317674530408,,2.029317674530408
1869,2525.0,16.833333333333332,,,16.833333333333332,2.9064249167267606,,2.9064249167267606
1870,3882.0,25.88,,,25.88,4.468412485834964,,4.468412485834964
1871,3613.0,24.086666666666666,,,24.086666666666666,4.158777514508429,,4.158777514508429
1872,4219.0,28.126666666666665,,,28.126666666666665,4.856319494522852,,4.856319494522852
1873,3774.0,25.16,,,25.16,4.344098073555166,,4.344098073555166
1874,2951.0,19.673333333333332,,,19.673333333333332,3.396776209608186,,3.396776209608186
1875,2548.0,16.986666666666668,,,16.986666666666668,2.9328992823048656,,2.9328992823048656
1876,2668.0,17.786666666666665,,,17.786666666666665,3.0710264070601965,,3.0710264070601965
1877,3016.0,20.106666666666666,,,20.106666666666666,3.471595068850657,,3.471595068850657
1878,3832.0,25.546666666666667,,,25.546666666666667,4.41085951718691,,4.41085951718691
1879,3554.0,23.69333333333333,,,23.69333333333333,4.090865011503725,,4.090865011503725
1880,4083.0,27.22,,,27.22,4.699775419800144,,4.699775419800144
1881,7558.0,50.38666666666666,,,50.38666666666666,8.699706740839941,,8.699706740839941
1882,7378.0,49.18666666666667,,,49.18666666666667,8.492516053706947,,8.492516053706947
1883,6156.0,41.04,,,41.04,7.0859214999484905,,7.0859214999484905
1884,5741.0,38.27333333333333,,,38.27333333333333,6.608231860169637,,6.608231860169637
1885,4627.0,30.846666666666668,,,30.846666666666668,5.3259517186909795,,5.3259517186909795
1886,4617.0,30.78,,,30.78,5.314441124961368,,5.314441124961368
1887,7882.0,52.54666666666667,,,52.54666666666667,9.072649977679339,,9.072649977679339
1888,7810.0,52.06666666666667,,,52.06666666666667,8.989773702826138,,8.989773702826138
1889,8324.0,55.49333333333333,,,55.49333333333333,9.58141822052814,,9.58141822052814
1890,10549.0,70.32666666666667,,,70.32666666666667,12.142525325366574,,12.142525325366574
1891,9943.0,66.28666666666666,,,66.28666666666666,11.44498334535215,,11.44498334535215
1892,9992.0,66.61333333333333,,,66.61333333333333,11.501385254627243,,11.501385254627243
1893,10372.0,69.14666666666666,,,69.14666666666666,11.938787816352459,,11.938787816352459
1894,9202.0,61.346666666666664,,,61.346666666666664,10.59204834998798,,10.59204834998798
1895,9914.0,66.09333333333333,,,66.09333333333333,11.411602623536279,,11.411602623536279
1896,12348.0,82.32,,,82.32,14.21328113732358,,14.21328113732358
1897,12417.0,82.78,,,82.78,14.292704234057895,,14.292704234057895
1898,11867.0,79.11333333333333,,,79.11333333333333,13.659621578929293,,13.659621578929293
1899,13322.0,88.81333333333333,,,88.81333333333333,15.334412966587685,,15.334412966587685
1900,14471.0,96.47333333333333,,,96.47333333333333,16.656980186119977,,16.656980186119977
1901,15000.0,100.0,1.676,100.0,100.0,17.265890594416398,,17.265890594416398
1902,18456.0,123.04,2.046,122.0763723150358,122.0763723150358,21.077572885546513,,21.077572885546513
1903,19966.0,133.10666666666665,2.191,130.72792362768496,130.72792362768496,22.571340269908312,,22.571340269908312
1904,17078.0,113.85333333333334,1.949,116.28878281622913,116.28878281622913,20.078294014628618,,20.078294014628618
1905,17537.0,116.91333333333333,2.0,119.33174224343676,119.33174224343676,20.60368806016277,,20.60368806016277
1906,20528.0,136.85333333333332,2.322,138.54415274463008,138.54415274463008,23.920881837848974,,23.920881837848974
1907,22290.0,148.6,2.584,154.1766109785203,154.1766109785203,26.619964973730298,,26.619964973730298
1908,17809.0,118.72666666666667,2.013,120.1073985680191,120.1073985680191,20.737612032553823,,20.737612032553823
1909,19664.0,131.09333333333333,2.318,138.30548926014322,138.30548926014322,23.87967446172865,,23.87967446172865
1910,22819.0,152.12666666666667,2.62,156.32458233890216,156.32458233890216,26.990831358813228,,26.990831358813228
1911,21298.0,141.98666666666668,2.45,146.18138424821004,146.18138424821004,25.23951787369939,,25.23951787369939
1912,23872.0,159.14666666666668,2.787,166.28878281622912,166.28878281622912,28.711239311836813,,28.711239311836813
1913,24296.0,161.97333333333333,2.904,173.26968973747017,173.26968973747017,29.91655506335634,,29.91655506335634
1914,18633.0,124.22,2.361,140.8711217183771,140.8711217183771,24.322653755022152,,24.322653755022152
1915,16211.0,108.07333333333334,2.195,130.96658711217182,130.96658711217182,22.612547646028634,,22.612547646028634
1916,21013.0,140.08666666666667,2.826,168.61575178997614,168.61575178997614,29.11301122900999,,29.11301122900999
1917,22563.0,150.42,3.194,190.5727923627685,190.5727923627685,32.90408983207994,,32.90408983207994
1918,20273.0,135.15333333333334,3.35,199.88066825775658,199.88066825775658,34.51117750077264,,34.51117750077264
1919,20392.0,135.94666666666666,3.477,207.45823389021479,207.45823389021479,35.81951169259297,,35.81951169259297
1920,24025.0,160.16666666666666,4.105,244.928400954654,244.928400954654,42.28906974348409,,42.28906974348409
1921,18838.0,125.58666666666667,3.152,188.06682577565633,188.06682577565633,32.471412382816524,,32.471412382816524
1922,22741.0,151.60666666666665,3.679,219.5107398568019,219.5107398568019,37.90048418666941,,37.90048418666941
1923,28621.0,190.80666666666667,4.881,291.2291169451074,291.2291169451074,50.283300710827234,,50.283300710827234
1924,26922.0,179.48,4.406,262.88782816229116,262.88782816229116,45.38992479653857,,45.38992479653857
1925,29956.0,199.70666666666668,5.349,319.1527446300716,319.1527446300716,55.104563716905325,,55.104563716905325
1926,32949.0,219.66,5.38,321.00238663484487,321.00238663484487,55.423920881837844,,55.423920881837844
1927,31811.0,212.07333333333332,5.161,307.9355608591885,307.9355608591885,53.16781703925002,,53.16781703925002
1928,31974.0,213.16,5.241,312.70883054892596,312.70883054892596,53.99196456165652,,53.99196456165652
1929,34994.0,233.29333333333332,5.693,339.67780429594274,339.67780429594274,58.648398063253325,,58.648398063253325
1930,28951.0,193.00666666666666,4.905,292.66109785202866,292.66109785202866,50.53054496754919,,50.53054496754919
1931,,,3.347,199.7016706443914,199.7016706443914,34.480271968682395,,34.480271968682395
1932,,,2.174,129.71360381861575,129.71360381861575,22.39620892139693,,22.39620892139693
1933,,,1.96,116.94510739856803,116.94510739856803,20.191614298959514,,20.191614298959514
1934,,,2.347,140.03579952267302,140.03579952267302,24.178427938601008,,24.178427938601008
1935,,,2.847,169.86873508353221,169.86873508353221,29.3293499536417,,29.3293499536417
1936,,,3.715,221.6587112171838,221.6587112171838,38.27135057175235,,38.27135057175235
1937,,,4.417,263.5441527446301,263.5441527446301,45.503245080869476,,45.503245080869476
1938,,,3.393,202.44630071599045,202.44630071599045,34.95415679406613,,34.95415679406613
1939,,,3.697,220.58472553699283,220.58472553699283,38.085917379210876,,38.085917379210876
1940,,,4.434,264.5584725536993,264.5584725536993,45.678376429380855,,45.678376429380855
1941,,,5.004,298.56801909307876,298.56801909307876,51.550427526527244,,51.550427526527244
1942,,,3.214,191.76610978520287,191.76610978520287,33.11012671268157,,33.11012671268157
1943,,,2.713,161.87350835322198,161.87350835322198,27.9489028536108,,27.9489028536108
1944,,,3.435,204.95226730310264,204.95226730310264,35.38683424332955,,35.38683424332955
1945,,,4.765,284.30787589498806,284.30787589498806,49.088286803337795,,49.088286803337795
1946,,,6.863,409.48687350835326,409.48687350835326,70.70155557844853,,70.70155557844853
1947,,,7.831,467.2434367541766,467.2434367541766,80.67374059956732,220.953,80.67374059956732
1948,,,8.329,496.95704057279244,496.95704057279244,85.80405892654787,278.47225,85.80405892654787
1949,,,7.564,451.3126491646778,451.3126491646778,77.92314824353558,215.3475,77.92314824353558
1950,,,8.303,495.40572792362775,495.40572792362775,85.53621098176575,299.986,85.53621098176575
1951,,,8.689,518.436754176611,518.436754176611,89.51272277737715,300.70925,89.51272277737715
1952,,,8.52,508.3532219570406,508.3532219570406,87.77171113629339,276.14675,87.77171113629339
1953,,,9.21,549.5226730310263,549.5226730310263,94.87998351704957,291.66325,94.87998351704957
1954,,,8.997,536.8138424821003,536.8138424821003,92.68569073864222,280.194,92.68569073864222
1955,,,10.006,597.0167064439141,597.0167064439141,103.08025136499434,344.96775,103.08025136499434
1956,,,10.668,636.5155131264917,636.5155131264917,109.9000721129082,344.02175,109.9000721129082
1957,,,10.824,645.8233890214798,645.8233890214798,111.50715978160092,331.14525,111.50715978160092
1958,,,9.707,579.1766109785203,579.1766109785203,100.0,307.15275,100.0
1959,,,10.26,612.1718377088306,612.1718377088306,105.696919748635,366.1585,105.696919748635
1960,,,10.886,649.5226730310262,649.5226730310262,112.14587411146593,367.5065,112.14587411146593
1961,,,10.828,646.0620525059666,646.0620525059666,111.54836715772122,368.6825,111.54836715772122
1962,,,11.8,704.0572792362768,704.0572792362768,121.56175955496032,412.505,121.56175955496032
1963,,,12.39,739.2601431980908,739.2601431980908,127.63984753270836,440.5065,127.63984753270836
1964,,,13.866,827.326968973747,827.326968973747,142.84536932110845,475.25075,142.84536932110845
1965,,,16.261,970.2267303102625,970.2267303102625,167.51828577315337,541.026,167.51828577315337
1966,,,18.214,1086.7541766109784,1086.7541766109784,187.63778716390232,589.61275,187.63778716390232
1967,,,17.99,1073.3890214797136,1073.3890214797136,185.3301741011641,568.98475,185.3301741011641
1968,,,18.812,1122.4343675417663,1122.4343675417663,193.79828989389102,602.99475,193.79828989389102
1969,,,20.269,1209.3675417661098,1209.3675417661098,208.80807664571958,636.5795,208.80807664571958
1970,,,20.04,1195.7040572792364,1195.7040572792364,206.44895436283096,597.8755,206.44895436283096
1971,,,20.011,1193.9737470167065,1193.9737470167065,206.15020088595858,659.488,206.15020088595858
1972,,,21.932,1308.5918854415274,1308.5918854415274,225.9400432677449,733.77575,225.9400432677449
1973,,,25.118,1498.6873508353221,1498.6873508353221,258.76171834758424,814.0655,258.76171834758424
1974,,,25.266,1507.5178997613366,1507.5178997613366,260.2863912640363,760.15225,260.2863912640363
1975,,,22.854,1363.6038186157518,1363.6038186157518,235.43834346347995,637.0125,235.43834346347995
1976,,,23.865,1423.9260143198092,1423.9260143198092,245.85350777789222,758.58175,245.85350777789222
1977,,,26.568,1585.202863961814,1585.202863961814,273.69939219120226,866.80375,273.69939219120226
1978,,,30.551,1822.852028639618,1822.852028639618,314.73163696301634,967.07075,314.73163696301634
1979,,,33.722,2012.0525059665874,2012.0525059665874,347.3987843824045,1000.96625,347.3987843824045
1980,,,33.561,2002.4463007159904,2002.4463007159904,345.7401874935613,900.24975,345.7401874935613
1981,,,35.378,2110.859188544153,2110.859188544153,364.45863809621926,979.4895,364.45863809621926
1982,,,33.765,2014.6181384248212,2014.6181384248212,347.84176367569796,856.458,347.84176367569796
1983,,,33.309,1987.4105011933173,1987.4105011933173,343.14412279798074,936.3915,343.14412279798074
1984,,,39.319,2346.002386634845,2346.002386634845,405.05820541877,1191.9435,405.05820541877
1985,,,42.142,2514.4391408114566,2514.4391408114566,434.1403111156898,1191.18475,434.1403111156898
1986,,,40.604,2422.6730310262533,2422.6730310262533,418.29607499742457,1193.0675,418.29607499742457
1987,,,40.926,2441.885441527447,2441.885441527447,421.6132687751108,1226.97175,421.6132687751108
1988,,,42.937,2561.873508353222,2561.873508353222,442.3302771196044,1257.243,442.3302771196044
1989,,,45.219,2698.031026252984,2698.031026252984,465.83908519625015,1308.10025,465.83908519625015
1990,,,45.775,2731.205250596659,2731.205250596659,471.5669104769754,1274.34525,471.5669104769754
1991,,,43.186,2576.73031026253,2576.73031026253,444.8954362830947,1190.02525,444.8954362830947
1992,,,44.321,2644.45107398568,2644.45107398568,456.588029257237,1276.73675,456.588029257237
1993,,,48.77,2909.9045346062053,2909.9045346062053,502.42093334706914,1378.8185,502.42093334706914
1994,,,53.138,3170.525059665871,3170.525059665871,547.4193880704646,1541.89425,547.4193880704646
1995,,,58.898,3514.200477326969,3514.200477326969,606.7580096837333,1591.364,606.7580096837333
1996,,,64.881,3871.18138424821,3871.18138424821,668.3939425157103,1730.475,668.3939425157103
1997,,,72.337,4316.050119331743,4316.050119331743,745.2044916039972,1927.83125,745.2044916039972
1998,,,81.037,4835.143198090693,4835.143198090693,834.8305346657052,2111.478,834.8305346657052
1999,,,89.212,5322.911694510741,5322.911694510741,919.0481096116206,2290.672,919.0481096116206
2000,,,97.87,5839.498806682578,5839.498806682578,1008.2414752240652,2444.90825,1008.2414752240652
2001,,,94.565,5642.303102625298,5642.303102625298,974.1938807046462,2307.396,974.1938807046462
2002,,,86.8,5178.997613365155,5178.997613365155,894.2000618110642,2287.68475,894.2000618110642
2003,,,87.572,5225.059665871122,5225.059665871122,902.1530854022869,2386.38075,902.1530854022869
2004,,,93.367,5570.823389021481,5570.823389021481,961.8522715566087,2606.9735,961.8522715566087
2005,,,100.0,5966.587112171838,5966.587112171838,1030.1844030081386,2782.2355,1030.1844030081386
2006,,,107.874,6436.396181384248,6436.396181384248,1111.3011229009992,2867.9025,1111.3011229009992
2007,,,115.193,6873.090692124105,6873.090692124105,1186.7003193571647,2796.02275,1186.7003193571647
2008,,,114.476,6830.310262529833,6830.310262529833,1179.3138971875967,2564.26,1179.3138971875967
2009,,,94.422,5633.770883054892,5633.770883054892,972.7207170083442,2025.28975,972.7207170083442
2010,,,98.358,5868.615751789977,5868.615751789977,1013.2687751107449,2309.04325,1013.2687751107449
2011,,,,,,,2463.141,1080.890912
2012,,,,,,,2735.269,1200.30782
2013,,,,,,,2938.66625,1289.563871
2014,,,,,,,3128.993,1373.084244
2015,,,,,,,3323.387,1458.389432
2016,,,,,,,3320.23775,1457.007459
2017,,,,,,,3467.66425,1521.702076
2018,,,,,,,3668.08125,1609.650315
2019,,,,,,,3783.9875,1660.513019
2020,,,,,,,3618.55925,1587.918762
2021,,,,,,,3944.35775,1730.887694
2022,,,,,,,4184.911,1836.448773
2023,,,,,,,4219.4975,1851.626237
2024,,,,,,,4346.4935,1907.355414
2025,,,,,,,4434.62375,1946.029281
