Year,Data USLR Jastram 1977 Long Bond Index Constructed Data from Macaulay 1938 and Economic Report of the President 1947=100 Dividend Yield Shiller 10 yr govt bond 1947=100 =ib(1947) since wpi =100 in 194,Jastram 1977,Long Bond Index Constructed Data from Macaulay 1938 and Economic Report of the President,1947=100,Data USLR Jastram 1977 Long Bond Index Constructed Data from Macaulay 1938 and Economic Report of the President 1947=100 Dividend Yield Shiller 10 yr govt bond 1947=100 =ib(1947) since wpi =100 in 194,Data USLR Jastram 1977 Long Bond Index Constructed Data from Macaulay 1938 and Economic Report of the President 1947=100 Dividend Yield Shiller 10 yr govt bond 1947=100 =ib(1947) since wpi =100 in 194,Dividend Yield,Shiller 10 yr govt bond,1947=100,=ib(1947) since wpi =100 in 1947
1919,103.59281437125749,160.3,5.160826249999996,197.7328065134098,-0.002997000657894773,-0.00212106044937526,6.751592356687898,4.5,93.46938775510205,2.1154819910823317
1920,120.0,178.7,5.658412500000001,216.7974137931035,-0.058200653540236964,0.0146831633579501,5.775764439411098,4.97,104.19825072886297,2.08062431256392
1921,107.18562874251496,113.0,5.455746250000003,209.03242337164764,0.42221275069250136,0.0313029692152482,6.469760900140646,5.09,65.88921282798835,3.172483239667041
1922,100.41916167664671,111.9,4.7984725000000035,183.84952107279707,0.057719238274336324,0.0445002495697415,6.986301369863014,4.3,65.24781341107872,2.8177116053605626
1923,102.21556886227545,116.4,5.007617500000004,191.86273946360168,0.009861697788203852,0.0549459671764998,5.955056179775281,4.36,67.87172011661808,2.8268436269766055
1924,102.39520958083834,113.5,4.93845,189.21264367816093,0.07429858934707914,0.0634432822948955,6.2287655719139305,4.06,66.1807580174927,2.8590280520532687
1925,104.97005988023953,119.7,4.873114999999997,186.70938697317996,-0.005894400660793116,0.0703444955125362,5.671077504725898,3.86,69.79591836734694,2.6750760121888355
1926,105.98802395209582,115.7,4.734871249999996,181.41269157088107,0.08076558802213875,0.0761104745940804,5.454545454545454,3.68,67.46355685131195,2.6890472432503114
1927,104.0119760479042,110.5,4.560492499999996,174.73151340996156,0.09054874522471912,0.0804397423490613,5.746268656716418,3.34,64.43148688046647,2.7118963393491775
1928,102.5748502994012,112.1,4.62664875,177.2662356321839,0.031786849490950175,0.0830774168410711,4.848830576155162,3.33,65.36443148688046,2.7119678332666854
1929,102.5748502994012,110.1,4.905964999999996,187.9680076628351,0.06690086320249768,0.0838697187102118,3.9018503620273535,3.6,64.19825072886297,2.9279303645936623
1930,100.0,100.0,4.6521075,178.24166666666667,0.13825586155767483,0.0821499944281744,4.51404882542607,3.29,58.309037900874635,3.0568445833333335
1931,91.19760479041916,84.3,4.5732675,175.22097701149426,0.20273267499999995,0.0770818932795479,5.131414267834793,3.34,49.15451895043732,3.564697219154361
1932,81.79640718562875,75.3,5.102243749999997,195.48826628352478,0.15778400333629902,0.0683901646046396,6.024096385542168,3.68,43.9067055393586,4.452355599950133
1933,77.60479041916167,76.2,4.61871,176.96206896551723,0.03423490876494016,0.0570560388109613,6.205923836389281,3.31,44.43148688046647,3.98280772015567
1934,80.17964071856288,86.5,4.177607500000003,160.0615900383143,-0.0933945286745406,0.0449546446599783,4.269449715370019,3.12,50.43731778425656,3.173475455672937
1935,82.21556886227545,92.6,3.767438749999996,144.34631226053625,-0.032845843713873,0.0337328505250464,5.075593952483802,2.79,53.994169096209916,2.6733685262075557
1936,82.9940119760479,93.5,3.24,124.13793103448276,0.02268077753779705,0.0236540783329215,5.232558139534884,2.65,54.518950437317784,2.2769684676378388
1937,85.98802395209582,99.8,3.26,124.90421455938699,-0.03477967914438509,0.0143159215051091,4.548038658328596,2.68,58.19241982507289,2.1464000798531933
1938,84.37125748502994,90.8,3.19,122.22222222222223,0.12208036072144288,0.00530623267978555,4.509283819628647,2.56,52.94460641399417,2.3084924131179636
1939,83.17365269461078,89.2,3.01,115.32567049808429,0.047721145374449395,-0.00427809471992407,4.96,2.36,52.011661807580175,2.2173040908544235
1940,84.0119760479042,90.8,2.84,108.81226053639847,0.010462780269058235,-0.0141724295976923,5.4471544715447155,2.21,52.94460641399417,2.0552095464749267
1941,88.20359281437126,101.1,2.77,106.13026819923373,-0.08573612334801754,-0.0235921599099928,6.729857819905213,1.95,58.95043731778426,1.8003304645072784
1942,97.60479041916167,114.1,2.83,108.42911877394637,-0.10028555885262104,-0.0315063493173219,6.606942889137738,2.46,66.53061224489795,1.6297628281973535
1943,103.59281437125749,120.2,2.73,104.59770114942529,-0.026161875547765324,-0.0375055398810761,6.045589692765114,2.47,70.08746355685132,1.492388165318339
1944,105.38922155688624,120.2,2.72,104.21455938697318,0.027200000000000002,-0.0418681101694789,5.40084388185654,2.48,70.08746355685132,1.4869215420021547
1945,107.78443113772455,122.4,2.62,100.38314176245211,0.007897171381031812,-0.0447589833519428,4.892512972572276,2.37,71.37026239067055,1.406512157864423
1946,117.0059880239521,139.7,2.53,96.93486590038313,-0.11603986928104566,-0.0456524014961856,3.940066592674806,2.19,81.45772594752185,1.19000211180499
1947,133.77245508982037,171.5,2.61,100.0,-0.20153063707945618,-0.0434960168364056,5.522682445759369,2.25,100.0,1.0
1948,144.19161676646706,185.7,2.82,108.04597701149426,-0.05459883381924194,-0.0379413575918394,6.271072151045178,2.44,108.2798833819242,0.9978397984637193
1949,142.81437125748505,176.5,2.66,101.91570881226055,0.07614227248249862,-0.0302202918133594,7.421874999999999,2.31,102.91545189504373,0.990285782510067
1950,144.19161676646706,183.4,2.62,100.38314176245211,-0.012893484419263461,-0.0217312739759197,8.708530805687204,2.32,106.93877551020408,0.9386973180076629
1951,155.5688622754491,204.3,2.86,109.5785440613027,-0.08535856052344608,-0.0128091556363407,6.647807637906648,2.57,119.12536443148689,0.9198590458401082
1952,158.98203592814372,198.7,2.96,113.40996168582376,0.057010670582476844,-0.0037003756116838,5.828854898718478,2.68,115.8600583090379,0.9788529657332046
1953,160.1796407185629,196.0,3.2,122.60536398467434,0.04558832410669342,0.00462311883735326,5.538579067990833,2.83,114.28571428571429,1.0727969348659003
1954,160.95808383233535,196.4,2.9,111.11111111111111,0.02695918367346944,0.0117964842061894,6.048703849175176,2.48,114.51895043731778,0.9702421362299163
1955,160.35928143712576,196.9,3.06,117.24137931034484,0.02805417515274947,0.0178645458018702,4.606741573033708,2.61,114.81049562682216,1.0211730092292606
1956,162.75449101796409,203.4,3.36,128.73563218390805,0.0005883189436262648,0.023023764089379,3.941109852774632,2.9,118.600583090379,1.0854553057787724
1957,168.56287425149702,209.2,3.89,149.04214559386975,0.010384759095378563,0.0275724540756809,3.940127668941228,3.46,121.98250728862973,1.2218321209057679
1958,173.17365269461078,212.1,3.79,145.21072796934865,0.02403766730401524,0.0315845931268469,4.255836575875486,3.09,123.6734693877551,1.1741461502472086
1959,174.6107784431138,212.6,4.38,167.816091954023,0.04144262140499762,0.0349622340681912,3.290183387270766,4.02,123.96501457725948,1.3537375244644845
1960,177.36526946107784,212.6,4.41,168.96551724137933,0.0441,0.0375319837937599,3.3603308633465447,4.72,123.96501457725948,1.363009699289584
1961,179.16167664670658,212.6,4.35,166.66666666666666,0.0435,0.0391852268569167,3.3824514400535834,3.84,123.96501457725948,1.3444653496393852
1962,181.19760479041918,212.6,4.33,165.90038314176246,0.0433,0.0398790279730879,3.083828000579123,4.08,123.96501457725948,1.3382838997559858
1963,183.35329341317367,211.9,4.26,163.2183908045977,0.04589256820319855,0.0396135995891308,3.504457423916384,3.83,123.55685131195335,1.320998302170293
1964,185.80838323353294,212.3,4.4,168.58237547892725,0.042112317130722096,0.0384233638721717,3.2701111837802483,4.17,123.79008746355684,1.3618406686121538
1965,188.98203592814372,216.6,4.49,172.03065134099617,0.02464564295807814,0.0364055069934455,3.1583836507199257,4.19,126.29737609329446,1.3621078811163825
1966,194.37125748502996,223.8,5.13,196.55172413793105,0.018059002770082988,0.0336940814854656,3.0754393484783544,4.61,130.49562682215745,1.5061939539613571
1967,200.0,224.2,5.51,211.11111111111111,0.0533126899016981,0.0303055848108107,3.457667258732978,4.58,130.72886297376093,1.6148775894538607
1968,208.3832335329341,229.8,6.18,236.7816091954023,0.03682230151650314,0.0261001736172052,3.230218855218855,5.53,133.9941690962099,1.7671038284165141
1969,219.5808383233533,238.8,7.03,269.3486590038314,0.03113550913838104,0.0211680487042651,3.0968247745981965,6.04,139.24198250728864,1.9343925887419215
1970,232.57485029940125,247.5,8.04,308.04597701149424,0.04396783919598003,0.0157066091354344,3.4769128557191893,7.79,144.3148688046647,2.1345408104028794
1971,242.57485029940122,255.4,7.39,283.1417624521073,0.04198080808080793,0.0100129734871145,3.283773665632688,6.24,148.92128279883383,1.901284740036664
1972,250.5988023952096,267.0,7.21,276.2452107279694,0.02668104933437744,0.00466689424435243,3.049370764762827,5.95,155.6851311953353,1.7743840314549342
1973,266.16766467065867,302.0,7.44,285.05747126436785,-0.0566861423220973,0.000567794157324086,2.8542475933119404,6.46,176.0932944606414,1.6187866331734797
1974,295.38922155688624,359.0,8.57,328.35249042145597,-0.10304172185430463,-0.00116477296623817,3.7457080428675478,6.99,209.32944606413994,1.56859198070417
1975,322.39520958083835,392.2,8.83,338.3141762452107,-0.004179108635097489,1.6168739824787e-05,5.071664829106946,7.5,228.68804664723032,1.4793697405929025
1976,340.9580838323353,410.2,8.43,322.98850574712645,0.03840504844467115,0.00363884287133446,4.181292587239314,7.74,239.18367346938774,1.3503785649837199
1977,362.934131736527,435.7116202945991,8.02,307.2796934865901,0.018006873977086627,0.00918951133671412,4.498603217416433,7.21,254.05925381609273,1.2094804218744275
1978,390.5389221556886,469.27954173486097,8.73,334.48275862068965,0.010258397534668603,0.0165021476156737,5.617728531855955,7.96,273.6323858512309,1.222380010246821
1979,434.5508982035928,528.3590834697219,9.63,368.96551724137936,-0.029594134477825537,0.025498930074556,5.666432654698626,9.1,308.081098233074,1.1976246493455571
1980,493.2934131736527,602.8798690671032,11.94,457.4712643678161,-0.02164193138500632,0.036039615603547,5.5560566429151255,10.8,351.5334513510806,1.3013591241731763
1981,544.4910179640718,657.9312602291326,14.17,542.911877394636,0.050385968819599336,0.0474330717920874,4.986087087312928,12.57,383.63338788870703,1.4151841172701476
1982,577.8443113772455,671.3584288052374,13.79,528.352490421456,0.11749183673469378,0.058411370073582,5.857776261937244,14.59,391.4626407027623,1.3496881579119429
1983,596.4071856287426,680.0860883797054,12.04,461.30268199233717,0.10739999999999997,0.0677361511635151,4.914396617453385,10.46,396.55165503189824,1.1632852268772662
1984,622.1556886227545,696.1986906710312,12.71,486.97318007662835,0.10340799605133268,0.0747598420766349,4.525512350501834,11.67,405.94675840876454,1.1995986419142064
1985,644.311377245509,692.841898527005,11.37,435.632183908046,0.11852160077145614,0.0792315083160546,4.603461336751937,11.38,403.9894452052507,1.0783256569654163
1986,656.2874251497007,672.7011456628478,9.02,345.5938697318008,0.11926976744186045,0.0811867169641209,3.97713626975359,9.19,392.24556598416785,0.8810650768344185
1987,680.2395209580839,690.156464811784,9.38,359.38697318007667,0.06785189620758493,0.08105392002002,3.3306869305508298,7.08,402.42359464243964,0.8930564160866319
1988,708.3832335329341,717.6821603927988,9.71,372.03065134099626,0.05721673151750961,0.0796424023132969,3.884541679974449,8.67,418.47356291125294,0.8890182900750985
1989,742.5149700598803,753.2641571194763,9.26,354.7892720306514,0.04302095416276903,0.0776294094732965,3.871623278791913,9.09,439.2210828684993,0.8077692211711831
1990,782.6347305389221,780.7898527004909,9.32,357.088122605364,0.05665811051693433,0.0754679631062306,3.5591375709621436,8.21,455.27105113731244,0.7843418150864684
1991,815.5688622754491,782.1325695581013,8.77,336.0153256704981,0.08598030954428212,0.0732649907235782,3.748079877112135,8.09,456.0539764187179,0.7367885010216237
1992,840.119760479042,786.832078559738,8.14,311.87739463601537,0.0753914163090127,0.0709393402057558,2.975389348202269,7.03,458.79421490363734,0.6797762144876225
1993,865.2694610778443,798.245171849427,7.22,276.6283524904215,0.057694880546075245,0.0685370095259443,2.8904257519012932,6.6,465.4490797955842,0.5943257049985168
1994,887.4251497005987,808.3155482815056,7.96,304.9808429118774,0.06698435660218653,0.066148503255267,2.7865282564113407,5.75,471.32101940612574,0.6470766852201066
1995,912.5748502994012,837.1839607201307,7.59,290.8045977011494,0.040185714285714505,0.0637558558695877,2.963997850617947,7.78,488.1539129563444,0.59572317251333
1996,939.5209580838324,857.3247135842878,7.37,282.37547892720306,0.049642261427425824,0.0613494168122176,2.4250512678623743,5.65,499.8977921774273,0.5648664253891731
1997,961.0778443113772,856.6533551554825,7.26,278.1609195402299,0.07338308535630401,0.0586838769677721,2.0229176998773197,6.58,499.5063295367244,0.5568716612624607
1998,976.0479041916168,835.169885433715,6.53,250.19157088122606,0.09037836990595591,0.0553968330527443,1.6816143497757847,5.54,486.97952503423613,0.5137619920747938
1999,997.6047904191618,842.5548281505726,7.05,270.11494252873564,0.06165755627009646,0.0512728430139497,1.3365151308887948,4.72,491.2856140819665,0.5498124406379817
2000,1031.1377245508982,890.8926350245497,7.62,291.95402298850576,0.018829482071713206,0.0464462964676763,1.1412818552318689,6.66,519.4709242125654,0.562021875297566
2001,1060.4790419161677,900.9630114566282,7.08,271.264367816092,0.059496307460436916,0.0411554546000728,1.1784700852781083,5.16,525.3428638231069,0.5163568147514267
2002,1077.245508982036,880.1509001636659,6.49,248.65900383141764,0.08799985096870339,0.0353624156326109,1.4093894984257285,5.04,513.2075219613213,0.4845194062649733
2003,1101.7964071856288,927.1459901800326,5.67,217.24137931034483,0.0033056445461479567,0.0292127232407617,1.9411948562243257,4.05,540.6099068105146,0.40184498392199935
2004,1131.1377245508982,984.8828150572831,5.63,215.7088122605364,-0.005973714699493364,0.0233782969436701,1.7165259774661819,4.15,574.2756939109523,0.37561891361187294
2005,1169.4610778443114,1056.7181669394438,5.23,200.3831417624521,-0.020637968643490247,0.0182720290280735,1.8808034467289085,4.22,616.162196466148,0.3252116778856315
2006,1207.185628742515,1105.727332242226,5.59,214.17624521072798,0.009521346886912328,0.0140133288112726,1.9456804798511023,4.42,644.7389692374496,0.33219063129383986
2007,1241.556886227545,1158.76464811784,5.56,213.02681992337165,0.0076340012143291044,0.0103324853202872,1.9471126839680934,4.76,675.6645178529678,0.31528489996825415
2008,1289.2215568862275,1272.8955810147302,5.63,215.7088122605364,-0.042193626882966316,0.00691485429402454,2.0590965795352347,3.74,742.2131667724374,0.290629191069946
2009,1284.670658682635,1160.7787234042555,5.31,203.44827586206898,0.14118016877637124,0.00341876661818889,2.5890154578432956,2.52,676.8389057750761,0.30058596532522314
2010,1305.7485029940121,1239.9990180032732,4.94,189.27203065134103,-0.018847541931752136,-0.000988495364455653,2.02299791737126,3.73,723.0314973780019,0.2617756367982809
2011,,1350.1018003273323,4.64,177.77777777777777,-0.04239263670817554,-0.00576203697732693,2.060625906347944,3.39,787.231370453255,0.22582659234656866
